transfers    spaced branch=False valid=False risk=16.88 label=normal     score=62.13 left={'balance': '8000.00', 'energy': 11, 'time': -2, 'available_steps': 6} blockers=['insufficient_time']
transfers    spaced branch=True  valid=False risk=16.88 label=normal     score=62.13 left={'balance': '8000.00', 'energy': 11, 'time': -2, 'available_steps': 6} blockers=['insufficient_time']
transfers    normal branch=False valid=True  risk=20.00 label=review     score=61.51 left={'balance': '8000.00', 'energy': 11, 'time': 3, 'available_steps': 6} blockers=[]
transfers    normal branch=True  valid=True  risk=20.00 label=review     score=61.51 left={'balance': '8000.00', 'energy': 11, 'time': 3, 'available_steps': 6} blockers=[]
transfers    rapid  branch=False valid=True  risk=27.50 label=review     score=58.96 left={'balance': '8000.00', 'energy': 11, 'time': 8, 'available_steps': 6} blockers=[]
transfers    rapid  branch=True  valid=True  risk=27.50 label=review     score=58.96 left={'balance': '8000.00', 'energy': 11, 'time': 8, 'available_steps': 6} blockers=[]
mixed        spaced branch=False valid=False risk=16.39 label=normal     score=59.52 left={'balance': '3000.00', 'energy': 3, 'time': -10, 'available_steps': 5} blockers=['insufficient_time']
mixed        spaced branch=True  valid=False risk=16.39 label=normal     score=59.52 left={'balance': '3000.00', 'energy': 3, 'time': -10, 'available_steps': 5} blockers=['insufficient_time']
mixed        normal branch=False valid=False risk=19.17 label=normal     score=57.71 left={'balance': '3000.00', 'energy': 3, 'time': -5, 'available_steps': 5} blockers=['insufficient_time']
mixed        normal branch=True  valid=False risk=19.17 label=normal     score=57.71 left={'balance': '3000.00', 'energy': 3, 'time': -5, 'available_steps': 5} blockers=['insufficient_time']
mixed        rapid  branch=False valid=True  risk=25.83 label=review     score=53.38 left={'balance': '3000.00', 'energy': 3, 'time': 0, 'available_steps': 5} blockers=[]
mixed        rapid  branch=True  valid=True  risk=25.83 label=review     score=53.38 left={'balance': '3000.00', 'energy': 3, 'time': 0, 'available_steps': 5} blockers=[]
incoming_funding spaced branch=False valid=False risk=17.67 label=normal     score=60.54 left={'balance': '7950.00', 'energy': 9, 'time': -5, 'available_steps': 5} blockers=['insufficient_time']
incoming_funding spaced branch=True  valid=False risk=17.00 label=normal     score=60.97 left={'balance': '7950.00', 'energy': 9, 'time': -7, 'available_steps': 5} blockers=['insufficient_time']
incoming_funding normal branch=False valid=True  risk=21.00 label=review     score=58.84 left={'balance': '7950.00', 'energy': 9, 'time': 1, 'available_steps': 5} blockers=[]
incoming_funding normal branch=True  valid=False risk=20.33 label=review     score=58.81 left={'balance': '7950.00', 'energy': 9, 'time': -1, 'available_steps': 5} blockers=['insufficient_time']
incoming_funding rapid  branch=False valid=True  risk=29.00 label=review     score=56.44 left={'balance': '7950.00', 'energy': 9, 'time': 7, 'available_steps': 5} blockers=[]
incoming_funding rapid  branch=True  valid=True  risk=28.33 label=review     score=55.94 left={'balance': '7950.00', 'energy': 9, 'time': 5, 'available_steps': 5} blockers=[]
