name,target,prediction,error,saved_risk,game_score,weighted_stealth,weighted_resources,history_stable_background,income_basis
01 — Сначала поступления,45.0,45.03026663220929,0.03026663220929038,45.03,47.61,35.7305,11.8795,1,absent
02 — Сначала свои средства,49.081,49.34061108476283,0.2596110847628239,49.34,44.81,32.929,11.881,1,absent
03 — Чередование переводов,45.0,45.379943518913315,0.3799435189133149,45.38,47.39,35.503,11.887,1,absent
04 — Наличные двумя снятиями,45.9895,46.763944771533104,0.7744447715331049,46.76,46.01,34.606,11.403999999999996,1,absent
05 — Одно крупное снятие,45.2259,46.45613881573146,1.2302388157314539,46.46,48.22,34.801,13.418999999999997,1,absent
06 — Только переводы,45.0,45.33637050048397,0.336370500483973,45.34,48.96,35.528999999999996,13.431000000000004,1,absent
07 — Восемь небольших переводов,46.5,46.79466999977302,0.29466999977302066,46.79,45.7,34.5865,11.113500000000002,1,absent
08 — Неравные суммы,45.0,45.56411329406161,0.5641132940616131,45.56,47.27,35.386,11.884,1,absent
09 — Зарплата в начале,33.75,33.677474233848656,-0.07252576615134387,33.68,49.51,43.108,6.402000000000001,1,payroll_registry
10 — Зарплата в конце,33.75,33.74347023641504,-0.006529763584957493,33.74,50.05,43.068999999999996,6.981000000000002,1,payroll_registry
11 — Три покупки в цепочке,47.83,48.89591525911167,1.0659152591116694,48.9,42.58,33.215,9.364999999999995,1,absent
12 — Разные источники и стороны,45.5942,46.79182439114158,1.1976243911415807,46.79,47.11,34.5865,12.523499999999999,1,absent
13 — Переводы в разные дни,45.0,45.764453852499614,0.7644538524996136,45.76,43.4,35.256,8.143999999999998,1,absent
14 — Серии с часовыми паузами,42.7387,44.24235898897977,1.5036589889797654,44.24,46.88,36.244,10.636000000000003,1,absent
15 — Три снятия с переводами,46.3704,46.703081352810344,0.33268135281034716,46.7,45.43,34.644999999999996,10.785000000000004,1,absent
