scenario_id,num_steps,total_turnover,total_inflow,total_outflow,net_turnover,outflow_to_inflow_ratio,fees_total,fees_ratio,incoming_transfer_sum,incoming_transfer_count,crypto_exchange_inflow_sum,foreign_bank_inflow_sum,primary_incoming_source,primary_sender_relationship,cash_inflow_sum,cash_outflow_sum,cash_turnover_ratio,anonymous_recipient_turnover,anonymous_recipient_ratio,night_operations_count,night_operations_ratio,rapid_velocity_count,rapid_velocity_ratio,avg_step_amount,max_step_amount,std_step_amount,max_frequency_single_step,repeated_amount_count,rapid_credit_to_debit_count,unique_channels_count,unique_cards_count,primary_channel,primary_category,most_frequent_card,has_cash,target_risk_score,target_risk_label,target_is_suspicious,scenario_archetype
scen_0001,2,59256.0,20000.0,39256.0,-19256.0,1.9628,392.56,0.0066,0.0,0,0.0,0.0,none,none,0.0,39256.0,0.6625,0.0,0.0,0,0.0,1,0.5,29628.0,39256.0,9628.0,1,0,1,1,2,atm,salary,salary,1,24.46,review,0,retail
scen_0002,12,516952.0,25000.0,491952.0,-466952.0,19.6781,2746.19,0.0053,0.0,0,0.0,0.0,none,none,0.0,57287.0,0.1108,0.0,0.0,0,0.0,2,0.1667,43079.33,70217.0,14230.31,1,0,1,2,3,mobile,transfer,card_transfer,1,15.72,normal,0,retail
scen_0003,2,39116.0,20000.0,19116.0,884.0,0.9558,95.58,0.0024,0.0,0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,19558.0,20000.0,442.0,1,0,1,1,2,mobile,salary,salary,0,12.96,normal,0,transfer_burst
scen_0004,2,71168.0,47930.0,23238.0,24692.0,0.4848,232.38,0.0033,47930.0,1,0.0,0.0,domestic_bank,anonymous_new_account,0.0,23238.0,0.3265,0.0,0.0,0,0.0,0,0.0,35584.0,47930.0,12346.0,1,0,0,2,2,bank,incoming_transfer,incoming_transfer,1,24.06,review,0,rapid_cash_out
scen_0005,12,609003.0,59735.0,549268.0,-489533.0,9.1951,2746.32,0.0045,59735.0,1,59735.0,0.0,crypto_exchange,regular_sender,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.25,50750.25,75435.0,11686.81,1,0,0,2,2,mobile,transfer,card_transfer,0,17.74,normal,0,incoming_series
scen_0006,2,96155.0,30000.0,66155.0,-36155.0,2.2052,330.78,0.0034,0.0,0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.5,48077.5,66155.0,18077.5,1,0,1,1,2,mobile,salary,salary,0,21.81,review,0,transfer_burst
scen_0007,7,299516.0,30033.0,269483.0,-239450.0,8.9729,1347.41,0.0045,30033.0,1,0.0,30033.0,foreign_bank_kg,regular_sender,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.7143,42788.0,71348.0,21911.03,1,0,1,2,2,mobile,transfer,card_transfer,0,25.13,review,0,incoming_series
scen_0008,12,579394.0,30000.0,549394.0,-519394.0,18.3131,4249.34,0.0073,0.0,0,0.0,0.0,none,none,0.0,300473.0,0.5186,0.0,0.0,0,0.0,4,0.3333,48282.83,88504.0,25405.88,1,0,1,3,3,atm,cash,cash_withdrawal,1,20.91,review,0,retail
scen_0009,2,159849.0,79163.0,80686.0,-1523.0,1.0192,806.86,0.005,79163.0,1,0.0,0.0,payment_service,anonymous_new_account,0.0,80686.0,0.5048,0.0,0.0,0,0.0,1,0.5,79924.5,80686.0,761.5,1,0,1,2,2,bank,incoming_transfer,incoming_transfer,1,41.0,suspicious,1,rapid_cash_out
scen_0010,2,88944.0,30000.0,58944.0,-28944.0,1.9648,294.72,0.0033,0.0,0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,44472.0,58944.0,14472.0,1,0,1,1,2,mobile,salary,salary,0,17.94,normal,0,transfer_burst
scen_0011,3,97417.0,18392.0,79025.0,-60633.0,4.2967,395.12,0.0041,18392.0,1,18392.0,0.0,crypto_exchange,anonymous_new_account,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.3333,32472.33,40161.0,9970.37,1,0,1,2,2,mobile,transfer,card_transfer,0,29.25,review,0,incoming_series
scen_0012,13,607638.0,20000.0,587638.0,-567638.0,29.3819,4025.14,0.0066,0.0,0,0.0,0.0,none,none,0.0,217391.0,0.3578,0.0,0.0,0,0.0,2,0.1538,46741.38,71993.0,20313.93,1,0,1,3,3,mobile,transfer,card_transfer,1,14.75,normal,0,retail
